date,sale_index_total,sale_price_total,rent_index_total,rent_price_total,rent_yield_monthly
2018-11-01,206.8471741081,8766.6743282658,140.9352476685,36.9661383371,0.0041430032
2018-12-01,207.2694405013,8784.5709805389,141.7647405924,37.1837074029,0.0041589457
2019-01-01,207.9062544344,8811.5606669257,142.8010911872,37.4555335081,0.0041449752
2019-02-01,208.4580289111,8834.9461792516,144.2124559586,37.8257226996,0.0041726845
2019-03-01,208.8817906850,8852.9062093119,145.1952465813,38.0835004714,0.0041933784
2019-04-01,209.3213923384,8871.5375710714,146.2725249305,38.3660615847,0.0042161043
2019-05-01,209.6826104289,8886.8468513382,147.1951486652,38.6080580843,0.0042332571
2019-06-01,210.1715978483,8907.5712991093,148.4828953678,38.9458232888,0.0042492651
2019-07-01,210.5697431325,8924.4456415181,149.6136436916,39.2424091298,0.0042752390
2019-08-01,211.1768416058,8950.1759161676,150.5913611363,39.4988562495,0.0043020353
2019-09-01,210.8668523372,8937.0378349975,151.6276735634,39.7706723435,0.0043387956
2019-10-01,210.8876578342,8937.9196213567,151.9842575049,39.8642013331,0.0044144209
2019-11-01,211.4646444654,8962.3736846501,152.1150770626,39.8985142105,0.0044068641
2019-12-01,211.9544560073,8983.1330606889,152.5365586915,40.0090653214,0.0044090543
2020-01-01,212.6614478919,9013.0970552761,153.0218959624,40.1363652339,0.0044108567
2020-02-01,212.9904195884,9027.0396568062,154.0944485393,40.4176868166,0.0044348220
2020-03-01,213.6052872967,9053.0992100834,156.0356920389,40.9268587728,0.0044776654
2020-04-01,214.0602419217,9072.3812672283,158.3072838930,41.5226783432,0.0045330985
2020-05-01,214.6856347790,9098.8869013076,159.3291533697,41.7907061721,0.0045489052
2020-06-01,215.3290525533,9126.1564741609,158.8962444815,41.6771577865,0.0045232878
2020-07-01,216.1502118543,9160.9591549067,157.4924774775,41.3089614259,0.0044666098
2020-08-01,217.1631969561,9203.8918685159,156.2134228252,40.9734760736,0.0044094386
2020-09-01,217.9248667496,9236.1732426959,155.3466069005,40.7461174964,0.0043690984
2020-10-01,218.4687173590,9259.2229227152,154.6607281807,40.5662172368,0.0043376836
2020-11-01,219.1559307034,9288.3486558080,154.4070101671,40.4996691210,0.0043172805
2020-12-01,219.9774583280,9323.1669469834,154.2750653921,40.4650611085,0.0042977820
2021-01-01,220.9842189603,9365.8358527964,153.8268251525,40.3474914375,0.0042690106
2021-02-01,221.8717842127,9403.4529754210,153.2789522953,40.2037889630,0.0042355029
